df,p0.995,p0.975,p0.2,p0.1,p0.05,p0.025,p0.02,p0.01,p0.005,p0.002,p0.001
631,543.26972,563.29912,660.68142,676.92468,690.53674,702.48826,706.07172,716.55642,726.24066,738.09202,746.4804
632,544.19684,564.24364,661.70524,677.96096,691.58328,703.54372,707.12984,717.62224,727.31352,739.17344,747.5678
633,545.12396,565.18816,662.72906,678.99724,692.62982,704.59918,708.18796,718.68806,728.38638,740.25486,748.6552
634,546.05108,566.13268,663.75288,680.03352,693.67636,705.65464,709.24608,719.75388,729.45924,741.33628,749.7426
635,546.9782,567.0772,664.7767,681.0698,694.7229,706.7101,710.3042,720.8197,730.5321,742.4177,750.83
636,547.90532,568.02172,665.80052,682.10608,695.76944,707.76556,711.36232,721.88552,731.60496,743.49912,751.9174
637,548.83244,568.96624,666.82434,683.14236,696.81598,708.82102,712.42044,722.95134,732.67782,744.58054,753.0048
638,549.75956,569.91076,667.84816,684.17864,697.86252,709.87648,713.47856,724.01716,733.75068,745.66196,754.0922
639,550.68668,570.85528,668.87198,685.21492,698.90906,710.93194,714.53668,725.08298,734.82354,746.74338,755.1796
640,551.6138,571.7998,669.8958,686.2512,699.9556,711.9874,715.5948,726.1488,735.8964,747.8248,756.267
641,552.54092,572.74432,670.91962,687.28748,701.00214,713.04286,716.65292,727.21462,736.96926,748.90622,757.3544
642,553.46804,573.68884,671.94344,688.32376,702.04868,714.09832,717.71104,728.28044,738.04212,749.98764,758.4418
643,554.39516,574.63336,672.96726,689.36004,703.09522,715.15378,718.76916,729.34626,739.11498,751.06906,759.5292
644,555.32228,575.57788,673.99108,690.39632,704.14176,716.20924,719.82728,730.41208,740.18784,752.15048,760.6166
645,556.2494,576.5224,675.0149,691.4326,705.1883,717.2647,720.8854,731.4779,741.2607,753.2319,761.704
646,557.17652,577.46692,676.03872,692.46888,706.23484,718.32016,721.94352,732.54372,742.33356,754.31332,762.7914
647,558.10364,578.41144,677.06254,693.50516,707.28138,719.37562,723.00164,733.60954,743.40642,755.39474,763.8788
648,559.03076,579.35596,678.08636,694.54144,708.32792,720.43108,724.05976,734.67536,744.47928,756.47616,764.9662
649,559.95788,580.30048,679.11018,695.57772,709.37446,721.48654,725.11788,735.74118,745.55214,757.55758,766.0536
650,560.885,581.245,680.134,696.614,710.421,722.542,726.176,736.807,746.625,758.639,767.141
651,561.8149,582.19164,681.15692,697.6489,711.4658,723.59538,727.23192,737.87034,747.69512,759.71734,768.22512
652,562.7448,583.13828,682.17984,698.6838,712.5106,724.64876,728.28784,738.93368,748.76524,760.79568,769.30924
653,563.6747,584.08492,683.20276,699.7187,713.5554,725.70214,729.34376,739.99702,749.83536,761.87402,770.39336
654,564.6046,585.03156,684.22568,700.7536,714.6002,726.75552,730.39968,741.06036,750.90548,762.95236,771.47748
655,565.5345,585.9782,685.2486,701.7885,715.645,727.8089,731.4556,742.1237,751.9756,764.0307,772.5616
656,566.4644,586.92484,686.27152,702.8234,716.6898,728.86228,732.51152,743.18704,753.04572,765.10904,773.64572
657,567.3943,587.87148,687.29444,703.8583,717.7346,729.91566,733.56744,744.25038,754.11584,766.18738,774.72984
658,568.3242,588.81812,688.31736,704.8932,718.7794,730.96904,734.62336,745.31372,755.18596,767.26572,775.81396
659,569.2541,589.76476,689.34028,705.9281,719.8242,732.02242,735.67928,746.37706,756.25608,768.34406,776.89808
660,570.184,590.7114,690.3632,706.963,720.869,733.0758,736.7352,747.4404,757.3262,769.4224,777.9822
661,571.1139,591.65804,691.38612,707.9979,721.9138,734.12918,737.79112,748.50374,758.39632,770.50074,779.06632
662,572.0438,592.60468,692.40904,709.0328,722.9586,735.18256,738.84704,749.56708,759.46644,771.57908,780.15044
663,572.9737,593.55132,693.43196,710.0677,724.0034,736.23594,739.90296,750.63042,760.53656,772.65742,781.23456
664,573.9036,594.49796,694.45488,711.1026,725.0482,737.28932,740.95888,751.69376,761.60668,773.73576,782.31868
665,574.8335,595.4446,695.4778,712.1375,726.093,738.3427,742.0148,752.7571,762.6768,774.8141,783.4028
666,575.7634,596.39124,696.50072,713.1724,727.1378,739.39608,743.07072,753.82044,763.74692,775.89244,784.48692
667,576.6933,597.33788,697.52364,714.2073,728.1826,740.44946,744.12664,754.88378,764.81704,776.97078,785.57104
668,577.6232,598.28452,698.54656,715.2422,729.2274,741.50284,745.18256,755.94712,765.88716,778.04912,786.65516
669,578.5531,599.23116,699.56948,716.2771,730.2722,742.55622,746.23848,757.01046,766.95728,779.12746,787.73928
670,579.483,600.1778,700.5924,717.312,731.317,743.6096,747.2944,758.0738,768.0274,780.2058,788.8234
671,580.4129,601.12444,701.61532,718.3469,732.3618,744.66298,748.35032,759.13714,769.09752,781.28414,789.90752
672,581.3428,602.07108,702.63824,719.3818,733.4066,745.71636,749.40624,760.20048,770.16764,782.36248,790.99164
673,582.2727,603.01772,703.66116,720.4167,734.4514,746.76974,750.46216,761.26382,771.23776,783.44082,792.07576
674,583.2026,603.96436,704.68408,721.4516,735.4962,747.82312,751.51808,762.32716,772.30788,784.51916,793.15988
675,584.1325,604.911,705.707,722.4865,736.541,748.8765,752.574,763.3905,773.378,785.5975,794.244
676,585.0624,605.85764,706.72992,723.5214,737.5858,749.92988,753.62992,764.45384,774.44812,786.67584,795.32812
677,585.9923,606.80428,707.75284,724.5563,738.6306,750.98326,754.68584,765.51718,775.51824,787.75418,796.41224
678,586.9222,607.75092,708.77576,725.5912,739.6754,752.03664,755.74176,766.58052,776.58836,788.83252,797.49636
679,587.8521,608.69756,709.79868,726.6261,740.7202,753.09002,756.79768,767.64386,777.65848,789.91086,798.58048
680,588.782,609.6442,710.8216,727.661,741.765,754.1434,757.8536,768.7072,778.7286,790.9892,799.6646
681,589.7119,610.59084,711.84452,728.6959,742.8098,755.19678,758.90952,769.77054,779.79872,792.06754,800.74872
682,590.6418,611.53748,712.86744,729.7308,743.8546,756.25016,759.96544,770.83388,780.86884,793.14588,801.83284
683,591.5717,612.48412,713.89036,730.7657,744.8994,757.30354,761.02136,771.89722,781.93896,794.22422,802.91696
684,592.5016,613.43076,714.91328,731.8006,745.9442,758.35692,762.07728,772.96056,783.00908,795.30256,804.00108
685,593.4315,614.3774,715.9362,732.8355,746.989,759.4103,763.1332,774.0239,784.0792,796.3809,805.0852
686,594.3614,615.32404,716.95912,733.8704,748.0338,760.46368,764.18912,775.08724,785.14932,797.45924,806.16932
687,595.2913,616.27068,717.98204,734.9053,749.0786,761.51706,765.24504,776.15058,786.21944,798.53758,807.25344
688,596.2212,617.21732,719.00496,735.9402,750.1234,762.57044,766.30096,777.21392,787.28956,799.61592,808.33756
689,597.1511,618.16396,720.02788,736.9751,751.1682,763.62382,767.35688,778.27726,788.35968,800.69426,809.42168
690,598.081,619.1106,721.0508,738.01,752.213,764.6772,768.4128,779.3406,789.4298,801.7726,810.5058
691,599.0109,620.05724,722.07372,739.0449,753.2578,765.73058,769.46872,780.40394,790.49992,802.85094,811.58992
692,599.9408,621.00388,723.09664,740.0798,754.3026,766.78396,770.52464,781.46728,791.57004,803.92928,812.67404
693,600.8707,621.95052,724.11956,741.1147,755.3474,767.83734,771.58056,782.53062,792.64016,805.00762,813.75816
694,601.8006,622.89716,725.14248,742.1496,756.3922,768.89072,772.63648,783.59396,793.71028,806.08596,814.84228
695,602.7305,623.8438,726.1654,743.1845,757.437,769.9441,773.6924,784.6573,794.7804,807.1643,815.9264
696,603.6604,624.79044,727.18832,744.2194,758.4818,770.99748,774.74832,785.72064,795.85052,808.24264,817.01052
697,604.5903,625.73708,728.21124,745.2543,759.5266,772.05086,775.80424,786.78398,796.92064,809.32098,818.09464
698,605.5202,626.68372,729.23416,746.2892,760.5714,773.10424,776.86016,787.84732,797.99076,810.39932,819.17876
699,606.4501,627.63036,730.25708,747.3241,761.6162,774.15762,777.91608,788.91066,799.06088,811.47766,820.26288
700,607.38,628.577,731.28,748.359,762.661,775.211,778.972,789.974,800.131,812.556,821.347
701,608.31234,629.52552,732.30212,749.39268,763.70422,776.26248,780.02596,791.0351,801.19866,813.6316,822.42814
702,609.24468,630.47404,733.32424,750.42636,764.74744,777.31396,781.07992,792.0962,802.26632,814.7072,823.50928
703,610.17702,631.42256,734.34636,751.46004,765.79066,778.36544,782.13388,793.1573,803.33398,815.7828,824.59042
704,611.10936,632.37108,735.36848,752.49372,766.83388,779.41692,783.18784,794.2184,804.40164,816.8584,825.67156
705,612.0417,633.3196,736.3906,753.5274,767.8771,780.4684,784.2418,795.2795,805.4693,817.934,826.7527
706,612.97404,634.26812,737.41272,754.56108,768.92032,781.51988,785.29576,796.3406,806.53696,819.0096,827.83384
707,613.90638,635.21664,738.43484,755.59476,769.96354,782.57136,786.34972,797.4017,807.60462,820.0852,828.91498
708,614.83872,636.16516,739.45696,756.62844,771.00676,783.62284,787.40368,798.4628,808.67228,821.1608,829.99612
709,615.77106,637.11368,740.47908,757.66212,772.04998,784.67432,788.45764,799.5239,809.73994,822.2364,831.07726
710,616.7034,638.0622,741.5012,758.6958,773.0932,785.7258,789.5116,800.585,810.8076,823.312,832.1584
711,617.63574,639.01072,742.52332,759.72948,774.13642,786.77728,790.56556,801.6461,811.87526,824.3876,833.23954
712,618.56808,639.95924,743.54544,760.76316,775.17964,787.82876,791.61952,802.7072,812.94292,825.4632,834.32068
713,619.50042,640.90776,744.56756,761.79684,776.22286,788.88024,792.67348,803.7683,814.01058,826.5388,835.40182
714,620.43276,641.85628,745.58968,762.83052,777.26608,789.93172,793.72744,804.8294,815.07824,827.6144,836.48296
715,621.3651,642.8048,746.6118,763.8642,778.3093,790.9832,794.7814,805.8905,816.1459,828.69,837.5641
716,622.29744,643.75332,747.63392,764.89788,779.35252,792.03468,795.83536,806.9516,817.21356,829.7656,838.64524
717,623.22978,644.70184,748.65604,765.93156,780.39574,793.08616,796.88932,808.0127,818.28122,830.8412,839.72638
718,624.16212,645.65036,749.67816,766.96524,781.43896,794.13764,797.94328,809.0738,819.34888,831.9168,840.80752
719,625.09446,646.59888,750.70028,767.99892,782.48218,795.18912,798.99724,810.1349,820.41654,832.9924,841.88866
720,626.0268,647.5474,751.7224,769.0326,783.5254,796.2406,800.0512,811.196,821.4842,834.068,842.9698
721,626.95914,648.49592,752.74452,770.06628,784.56862,797.29208,801.10516,812.2571,822.55186,835.1436,844.05094
722,627.89148,649.44444,753.76664,771.09996,785.61184,798.34356,802.15912,813.3182,823.61952,836.2192,845.13208
723,628.82382,650.39296,754.78876,772.13364,786.65506,799.39504,803.21308,814.3793,824.68718,837.2948,846.21322
724,629.75616,651.34148,755.81088,773.16732,787.69828,800.44652,804.26704,815.4404,825.75484,838.3704,847.29436
725,630.6885,652.29,756.833,774.201,788.7415,801.498,805.321,816.5015,826.8225,839.446,848.3755
726,631.62084,653.23852,757.85512,775.23468,789.78472,802.54948,806.37496,817.5626,827.89016,840.5216,849.45664
727,632.55318,654.18704,758.87724,776.26836,790.82794,803.60096,807.42892,818.6237,828.95782,841.5972,850.53778
728,633.48552,655.13556,759.89936,777.30204,791.87116,804.65244,808.48288,819.6848,830.02548,842.6728,851.61892
729,634.41786,656.08408,760.92148,778.33572,792.91438,805.70392,809.53684,820.7459,831.09314,843.7484,852.70006
730,635.3502,657.0326,761.9436,779.3694,793.9576,806.7554,810.5908,821.807,832.1608,844.824,853.7812
731,636.28254,657.98112,762.96572,780.40308,795.00082,807.80688,811.64476,822.8681,833.22846,845.8996,854.86234
732,637.21488,658.92964,763.98784,781.43676,796.04404,808.85836,812.69872,823.9292,834.29612,846.9752,855.94348
733,638.14722,659.87816,765.00996,782.47044,797.08726,809.90984,813.75268,824.9903,835.36378,848.0508,857.02462
734,639.07956,660.82668,766.03208,783.50412,798.13048,810.96132,814.80664,826.0514,836.43144,849.1264,858.10576
735,640.0119,661.7752,767.0542,784.5378,799.1737,812.0128,815.8606,827.1125,837.4991,850.202,859.1869
736,640.94424,662.72372,768.07632,785.57148,800.21692,813.06428,816.91456,828.1736,838.56676,851.2776,860.26804
737,641.87658,663.67224,769.09844,786.60516,801.26014,814.11576,817.96852,829.2347,839.63442,852.3532,861.34918
738,642.80892,664.62076,770.12056,787.63884,802.30336,815.16724,819.02248,830.2958,840.70208,853.4288,862.43032
739,643.74126,665.56928,771.14268,788.67252,803.34658,816.21872,820.07644,831.3569,841.76974,854.5044,863.51146
740,644.6736,666.5178,772.1648,789.7062,804.3898,817.2702,821.1304,832.418,842.8374,855.58,864.5926
741,645.60594,667.46632,773.18692,790.73988,805.43302,818.32168,822.18436,833.4791,843.90506,856.6556,865.67374
742,646.53828,668.41484,774.20904,791.77356,806.47624,819.37316,823.23832,834.5402,844.97272,857.7312,866.75488
743,647.47062,669.36336,775.23116,792.80724,807.51946,820.42464,824.29228,835.6013,846.04038,858.8068,867.83602
744,648.40296,670.31188,776.25328,793.84092,808.56268,821.47612,825.34624,836.6624,847.10804,859.8824,868.91716
745,649.3353,671.2604,777.2754,794.8746,809.6059,822.5276,826.4002,837.7235,848.1757,860.958,869.9983
746,650.26764,672.20892,778.29752,795.90828,810.64912,823.57908,827.45416,838.7846,849.24336,862.0336,871.07944
747,651.19998,673.15744,779.31964,796.94196,811.69234,824.63056,828.50812,839.8457,850.31102,863.1092,872.16058
748,652.13232,674.10596,780.34176,797.97564,812.73556,825.68204,829.56208,840.9068,851.37868,864.1848,873.24172
749,653.06466,675.05448,781.36388,799.00932,813.77878,826.73352,830.61604,841.9679,852.44634,865.2604,874.32286
750,653.997,676.003,782.386,800.043,814.822,827.785,831.67,843.029,853.514,866.336,875.404
751,654.93156,676.9532,783.4074,801.07556,815.86378,828.8348,832.72218,844.0881,854.57944,867.4091,876.4825
752,655.86612,677.9034,784.4288,802.10812,816.90556,829.8846,833.77436,845.1472,855.64488,868.4822,877.561
753,656.80068,678.8536,785.4502,803.14068,817.94734,830.9344,834.82654,846.2063,856.71032,869.5553,878.6395
754,657.73524,679.8038,786.4716,804.17324,818.98912,831.9842,835.87872,847.2654,857.77576,870.6284,879.718
755,658.6698,680.754,787.493,805.2058,820.0309,833.034,836.9309,848.3245,858.8412,871.7015,880.7965
756,659.60436,681.7042,788.5144,806.23836,821.07268,834.0838,837.98308,849.3836,859.90664,872.7746,881.875
757,660.53892,682.6544,789.5358,807.27092,822.11446,835.1336,839.03526,850.4427,860.97208,873.8477,882.9535
758,661.47348,683.6046,790.5572,808.30348,823.15624,836.1834,840.08744,851.5018,862.03752,874.9208,884.032
759,662.40804,684.5548,791.5786,809.33604,824.19802,837.2332,841.13962,852.5609,863.10296,875.9939,885.1105
760,663.3426,685.505,792.6,810.3686,825.2398,838.283,842.1918,853.62,864.1684,877.067,886.189
761,664.27716,686.4552,793.6214,811.40116,826.28158,839.3328,843.24398,854.6791,865.23384,878.1401,887.2675
762,665.21172,687.4054,794.6428,812.43372,827.32336,840.3826,844.29616,855.7382,866.29928,879.2132,888.346
763,666.14628,688.3556,795.6642,813.46628,828.36514,841.4324,845.34834,856.7973,867.36472,880.2863,889.4245
764,667.08084,689.3058,796.6856,814.49884,829.40692,842.4822,846.40052,857.8564,868.43016,881.3594,890.503
765,668.0154,690.256,797.707,815.5314,830.4487,843.532,847.4527,858.9155,869.4956,882.4325,891.5815
766,668.94996,691.2062,798.7284,816.56396,831.49048,844.5818,848.50488,859.9746,870.56104,883.5056,892.66
767,669.88452,692.1564,799.7498,817.59652,832.53226,845.6316,849.55706,861.0337,871.62648,884.5787,893.7385
768,670.81908,693.1066,800.7712,818.62908,833.57404,846.6814,850.60924,862.0928,872.69192,885.6518,894.817
769,671.75364,694.0568,801.7926,819.66164,834.61582,847.7312,851.66142,863.1519,873.75736,886.7249,895.8955
770,672.6882,695.007,802.814,820.6942,835.6576,848.781,852.7136,864.211,874.8228,887.798,896.974
771,673.62276,695.9572,803.8354,821.72676,836.69938,849.8308,853.76578,865.2701,875.88824,888.8711,898.0525
772,674.55732,696.9074,804.8568,822.75932,837.74116,850.8806,854.81796,866.3292,876.95368,889.9442,899.131
773,675.49188,697.8576,805.8782,823.79188,838.78294,851.9304,855.87014,867.3883,878.01912,891.0173,900.2095
774,676.42644,698.8078,806.8996,824.82444,839.82472,852.9802,856.92232,868.4474,879.08456,892.0904,901.288
775,677.361,699.758,807.921,825.857,840.8665,854.03,857.9745,869.5065,880.15,893.1635,902.3665
776,678.29556,700.7082,808.9424,826.88956,841.90828,855.0798,859.02668,870.5656,881.21544,894.2366,903.445
777,679.23012,701.6584,809.9638,827.92212,842.95006,856.1296,860.07886,871.6247,882.28088,895.3097,904.5235
778,680.16468,702.6086,810.9852,828.95468,843.99184,857.1794,861.13104,872.6838,883.34632,896.3828,905.602
779,681.09924,703.5588,812.0066,829.98724,845.03362,858.2292,862.18322,873.7429,884.41176,897.4559,906.6805
780,682.0338,704.509,813.028,831.0198,846.0754,859.279,863.2354,874.802,885.4772,898.529,907.759
781,682.96836,705.4592,814.0494,832.05236,847.11718,860.3288,864.28758,875.8611,886.54264,899.6021,908.8375
782,683.90292,706.4094,815.0708,833.08492,848.15896,861.3786,865.33976,876.9202,887.60808,900.6752,909.916
783,684.83748,707.3596,816.0922,834.11748,849.20074,862.4284,866.39194,877.9793,888.67352,901.7483,910.9945
784,685.77204,708.3098,817.1136,835.15004,850.24252,863.4782,867.44412,879.0384,889.73896,902.8214,912.073
785,686.7066,709.26,818.135,836.1826,851.2843,864.528,868.4963,880.0975,890.8044,903.8945,913.1515
786,687.64116,710.2102,819.1564,837.21516,852.32608,865.5778,869.54848,881.1566,891.86984,904.9676,914.23
787,688.57572,711.1604,820.1778,838.24772,853.36786,866.6276,870.60066,882.2157,892.93528,906.0407,915.3085
788,689.51028,712.1106,821.1992,839.28028,854.40964,867.6774,871.65284,883.2748,894.00072,907.1138,916.387
789,690.44484,713.0608,822.2206,840.31284,855.45142,868.7272,872.70502,884.3339,895.06616,908.1869,917.4655
790,691.3794,714.011,823.242,841.3454,856.4932,869.777,873.7572,885.393,896.1316,909.26,918.544
791,692.31396,714.9612,824.2634,842.37796,857.53498,870.8268,874.80938,886.4521,897.19704,910.3331,919.6225
792,693.24852,715.9114,825.2848,843.41052,858.57676,871.8766,875.86156,887.5112,898.26248,911.4062,920.701
793,694.18308,716.8616,826.3062,844.44308,859.61854,872.9264,876.91374,888.5703,899.32792,912.4793,921.7795
794,695.11764,717.8118,827.3276,845.47564,860.66032,873.9762,877.96592,889.6294,900.39336,913.5524,922.858
795,696.0522,718.762,828.349,846.5082,861.7021,875.026,879.0181,890.6885,901.4588,914.6255,923.9365
796,696.98676,719.7122,829.3704,847.54076,862.74388,876.0758,880.07028,891.7476,902.52424,915.6986,925.015
797,697.92132,720.6624,830.3918,848.57332,863.78566,877.1256,881.12246,892.8067,903.58968,916.7717,926.0935
798,698.85588,721.6126,831.4132,849.60588,864.82744,878.1754,882.17464,893.8658,904.65512,917.8448,927.172
799,699.79044,722.5628,832.4346,850.63844,865.86922,879.2252,883.22682,894.9249,905.72056,918.9179,928.2505
800,700.725,723.513,833.456,851.671,866.911,880.275,884.279,895.984,906.786,919.991,929.329
801,701.66158,724.46472,834.47672,852.70256,867.95152,881.32328,885.32958,897.04128,907.84942,921.06186,930.40508
802,702.59816,725.41644,835.49744,853.73412,868.99204,882.37156,886.38016,898.09856,908.91284,922.13272,931.48116
803,703.53474,726.36816,836.51816,854.76568,870.03256,883.41984,887.43074,899.15584,909.97626,923.20358,932.55724
804,704.47132,727.31988,837.53888,855.79724,871.07308,884.46812,888.48132,900.21312,911.03968,924.27444,933.63332
805,705.4079,728.2716,838.5596,856.8288,872.1136,885.5164,889.5319,901.2704,912.1031,925.3453,934.7094
806,706.34448,729.22332,839.58032,857.86036,873.15412,886.56468,890.58248,902.32768,913.16652,926.41616,935.78548
807,707.28106,730.17504,840.60104,858.89192,874.19464,887.61296,891.63306,903.38496,914.22994,927.48702,936.86156
808,708.21764,731.12676,841.62176,859.92348,875.23516,888.66124,892.68364,904.44224,915.29336,928.55788,937.93764
809,709.15422,732.07848,842.64248,860.95504,876.27568,889.70952,893.73422,905.49952,916.35678,929.62874,939.01372
810,710.0908,733.0302,843.6632,861.9866,877.3162,890.7578,894.7848,906.5568,917.4202,930.6996,940.0898
811,711.02738,733.98192,844.68392,863.01816,878.35672,891.80608,895.83538,907.61408,918.48362,931.77046,941.16588
812,711.96396,734.93364,845.70464,864.04972,879.39724,892.85436,896.88596,908.67136,919.54704,932.84132,942.24196
813,712.90054,735.88536,846.72536,865.08128,880.43776,893.90264,897.93654,909.72864,920.61046,933.91218,943.31804
814,713.83712,736.83708,847.74608,866.11284,881.47828,894.95092,898.98712,910.78592,921.67388,934.98304,944.39412
815,714.7737,737.7888,848.7668,867.1444,882.5188,895.9992,900.0377,911.8432,922.7373,936.0539,945.4702
816,715.71028,738.74052,849.78752,868.17596,883.55932,897.04748,901.08828,912.90048,923.80072,937.12476,946.54628
817,716.64686,739.69224,850.80824,869.20752,884.59984,898.09576,902.13886,913.95776,924.86414,938.19562,947.62236
818,717.58344,740.64396,851.82896,870.23908,885.64036,899.14404,903.18944,915.01504,925.92756,939.26648,948.69844
819,718.52002,741.59568,852.84968,871.27064,886.68088,900.19232,904.24002,916.07232,926.99098,940.33734,949.77452
820,719.4566,742.5474,853.8704,872.3022,887.7214,901.2406,905.2906,917.1296,928.0544,941.4082,950.8506
821,720.39318,743.49912,854.89112,873.33376,888.76192,902.28888,906.34118,918.18688,929.11782,942.47906,951.92668
822,721.32976,744.45084,855.91184,874.36532,889.80244,903.33716,907.39176,919.24416,930.18124,943.54992,953.00276
823,722.26634,745.40256,856.93256,875.39688,890.84296,904.38544,908.44234,920.30144,931.24466,944.62078,954.07884
824,723.20292,746.35428,857.95328,876.42844,891.88348,905.43372,909.49292,921.35872,932.30808,945.69164,955.15492
825,724.1395,747.306,858.974,877.46,892.924,906.482,910.5435,922.416,933.3715,946.7625,956.231
826,725.07608,748.25772,859.99472,878.49156,893.96452,907.53028,911.59408,923.47328,934.43492,947.83336,957.30708
827,726.01266,749.20944,861.01544,879.52312,895.00504,908.57856,912.64466,924.53056,935.49834,948.90422,958.38316
828,726.94924,750.16116,862.03616,880.55468,896.04556,909.62684,913.69524,925.58784,936.56176,949.97508,959.45924
829,727.88582,751.11288,863.05688,881.58624,897.08608,910.67512,914.74582,926.64512,937.62518,951.04594,960.53532
830,728.8224,752.0646,864.0776,882.6178,898.1266,911.7234,915.7964,927.7024,938.6886,952.1168,961.6114
831,729.75898,753.01632,865.09832,883.64936,899.16712,912.77168,916.84698,928.75968,939.75202,953.18766,962.68748
832,730.69556,753.96804,866.11904,884.68092,900.20764,913.81996,917.89756,929.81696,940.81544,954.25852,963.76356
833,731.63214,754.91976,867.13976,885.71248,901.24816,914.86824,918.94814,930.87424,941.87886,955.32938,964.83964
834,732.56872,755.87148,868.16048,886.74404,902.28868,915.91652,919.99872,931.93152,942.94228,956.40024,965.91572
835,733.5053,756.8232,869.1812,887.7756,903.3292,916.9648,921.0493,932.9888,944.0057,957.4711,966.9918
836,734.44188,757.77492,870.20192,888.80716,904.36972,918.01308,922.09988,934.04608,945.06912,958.54196,968.06788
837,735.37846,758.72664,871.22264,889.83872,905.41024,919.06136,923.15046,935.10336,946.13254,959.61282,969.14396
838,736.31504,759.67836,872.24336,890.87028,906.45076,920.10964,924.20104,936.16064,947.19596,960.68368,970.22004
839,737.25162,760.63008,873.26408,891.90184,907.49128,921.15792,925.25162,937.21792,948.25938,961.75454,971.29612
840,738.1882,761.5818,874.2848,892.9334,908.5318,922.2062,926.3022,938.2752,949.3228,962.8254,972.3722
841,739.12478,762.53352,875.30552,893.96496,909.57232,923.25448,927.35278,939.33248,950.38622,963.89626,973.44828
842,740.06136,763.48524,876.32624,894.99652,910.61284,924.30276,928.40336,940.38976,951.44964,964.96712,974.52436
843,740.99794,764.43696,877.34696,896.02808,911.65336,925.35104,929.45394,941.44704,952.51306,966.03798,975.60044
844,741.93452,765.38868,878.36768,897.05964,912.69388,926.39932,930.50452,942.50432,953.57648,967.10884,976.67652
845,742.8711,766.3404,879.3884,898.0912,913.7344,927.4476,931.5551,943.5616,954.6399,968.1797,977.7526
846,743.80768,767.29212,880.40912,899.12276,914.77492,928.49588,932.60568,944.61888,955.70332,969.25056,978.82868
847,744.74426,768.24384,881.42984,900.15432,915.81544,929.54416,933.65626,945.67616,956.76674,970.32142,979.90476
848,745.68084,769.19556,882.45056,901.18588,916.85596,930.59244,934.70684,946.73344,957.83016,971.39228,980.98084
849,746.61742,770.14728,883.47128,902.21744,917.89648,931.64072,935.75742,947.79072,958.89358,972.46314,982.05692
850,747.554,771.099,884.492,903.249,918.937,932.689,936.808,948.848,959.957,973.534,983.133
851,748.49242,772.05214,885.51214,904.27966,919.97634,933.73586,937.8571,949.90364,961.01858,974.6028,984.20686
852,749.43084,773.00528,886.53228,905.31032,921.01568,934.78272,938.9062,950.95928,962.08016,975.6716,985.28072
853,750.36926,773.95842,887.55242,906.34098,922.05502,935.82958,939.9553,952.01492,963.14174,976.7404,986.35458
854,751.30768,774.91156,888.57256,907.37164,923.09436,936.87644,941.0044,953.07056,964.20332,977.8092,987.42844
855,752.2461,775.8647,889.5927,908.4023,924.1337,937.9233,942.0535,954.1262,965.2649,978.878,988.5023
856,753.18452,776.81784,890.61284,909.43296,925.17304,938.97016,943.1026,955.18184,966.32648,979.9468,989.57616
857,754.12294,777.77098,891.63298,910.46362,926.21238,940.01702,944.1517,956.23748,967.38806,981.0156,990.65002
858,755.06136,778.72412,892.65312,911.49428,927.25172,941.06388,945.2008,957.29312,968.44964,982.0844,991.72388
859,755.99978,779.67726,893.67326,912.52494,928.29106,942.11074,946.2499,958.34876,969.51122,983.1532,992.79774
860,756.9382,780.6304,894.6934,913.5556,929.3304,943.1576,947.299,959.4044,970.5728,984.222,993.8716
861,757.87662,781.58354,895.71354,914.58626,930.36974,944.20446,948.3481,960.46004,971.63438,985.2908,994.94546
